filename,speaker,text,language,language_code,gender,audio_sampling_rate,audio_num_samples,audio_duration_s,audio_size_bytes,audio_num_channels,split
nchlt_nbl_002f_0003.wav,nbl_002,ngesisuthu,isiNdebele,nbl,female,16000,42240,2.64,168960,1,train
nchlt_nbl_002f_0016.wav,nbl_002,science fiction films,isiNdebele,nbl,female,16000,49920,3.12,199680,1,train
nchlt_nbl_002f_0050.wav,nbl_002,american fantasy writers,isiNdebele,nbl,female,16000,42240,2.64,168960,1,train
nchlt_nbl_002f_0009.wav,nbl_002,lesewula,isiNdebele,nbl,female,16000,38400,2.4,153600,1,train
nchlt_nbl_002f_0041.wav,nbl_002,zama,isiNdebele,nbl,female,16000,26880,1.68,107520,1,train
nchlt_nbl_002f_0077.wav,nbl_002,qobe nyaka isitjhaba samandebele siya erholweni,isiNdebele,nbl,female,16000,105600,6.6,422400,1,train
nchlt_nbl_002f_0093.wav,nbl_002,kukhona indawo lakuhlala khona imbandana zodwa,isiNdebele,nbl,female,16000,76800,4.8,307200,1,train
nchlt_nbl_002f_0014.wav,nbl_002,usosikhwama,isiNdebele,nbl,female,16000,49920,3.12,199680,1,train
nchlt_nbl_002f_0076.wav,nbl_002,ukuhlola abantu ngaphakathi kulisizo,isiNdebele,nbl,female,16000,84480,5.28,337920,1,train
nchlt_nbl_002f_0057.wav,nbl_002,wobundebele,isiNdebele,nbl,female,16000,36480,2.28,145920,1,train
nchlt_nbl_002f_0096.wav,nbl_002,ukuvuma libizelo elithandwa babantu abanengi,isiNdebele,nbl,female,16000,99840,6.24,399360,1,train
nchlt_nbl_002f_0081.wav,nbl_002,minqani imitlolo yelimi lesiswati,isiNdebele,nbl,female,16000,72960,4.56,291840,1,train
nchlt_nbl_002f_0037.wav,nbl_002,namtshweni,isiNdebele,nbl,female,16000,40320,2.52,161280,1,train
nchlt_nbl_002f_0094.wav,nbl_002,abathungi  bezambatho esewula afrika sebaba banengi,isiNdebele,nbl,female,16000,111360,6.96,445440,1,train
nchlt_nbl_002f_0054.wav,nbl_002,zakosinodolo,isiNdebele,nbl,female,16000,34560,2.16,138240,1,train
nchlt_nbl_002f_0097.wav,nbl_002,abavumi  bayathatjelwa kwezinye iinarha,isiNdebele,nbl,female,16000,88320,5.52,353280,1,train
nchlt_nbl_002f_0091.wav,nbl_002,sinetjhudu khulu ngoba sinemithi  yemvelo,isiNdebele,nbl,female,16000,124800,7.8,499200,1,train
nchlt_nbl_002f_0100.wav,nbl_002,amadamu azele amanzi woke,isiNdebele,nbl,female,16000,71040,4.44,284160,1,train
nchlt_nbl_002f_0122.wav,nbl_002,amalungelo wabantu  abanzima bekagandelelwe,isiNdebele,nbl,female,16000,105600,6.6,422400,1,train
nchlt_nbl_002f_0086.wav,nbl_002,imithetho yabosofengwana iyakarisa,isiNdebele,nbl,female,16000,96000,6.0,384000,1,train
nchlt_nbl_002f_0082.wav,nbl_002,itsikiri ngenye yezinto ezilolongako,isiNdebele,nbl,female,16000,82560,5.16,330240,1,train
nchlt_nbl_002f_0098.wav,nbl_002,umzimba utlhoga izakhamzimba nawuzakuqina,isiNdebele,nbl,female,16000,130560,8.16,522240,1,train
nchlt_nbl_002f_0104.wav,nbl_002,abantu bathanda imvelo,isiNdebele,nbl,female,16000,74880,4.68,299520,1,train
nchlt_nbl_002f_0113.wav,nbl_002,ikoro yezokuzithabisa izama ngamandla ukuthabisa umphakhathi,isiNdebele,nbl,female,16000,155520,9.72,622080,1,train
nchlt_nbl_002f_0114.wav,nbl_002,kungaba mnyanya womvumo wesintu,isiNdebele,nbl,female,16000,97920,6.12,391680,1,train
nchlt_nbl_002f_0124.wav,nbl_002,kanye nomdlalo womrabaraba,isiNdebele,nbl,female,16000,61440,3.84,245760,1,train
nchlt_nbl_002f_0129.wav,nbl_002,abantu bahlobana bunjani neemfene,isiNdebele,nbl,female,16000,99840,6.24,399360,1,train
nchlt_nbl_002f_0127.wav,nbl_002,umvumo wesindebele uligugu,isiNdebele,nbl,female,16000,65280,4.08,261120,1,train
nchlt_nbl_002f_0133.wav,nbl_002,banengi abantu abakopela usibusiso dlomo,isiNdebele,nbl,female,16000,107520,6.72,430080,1,train
nchlt_nbl_002f_0131.wav,nbl_002,abodorhodere abalapha abadlali bebholo,isiNdebele,nbl,female,16000,86400,5.4,345600,1,train
nchlt_nbl_002f_0184.wav,nbl_002,isigodlo sithanda imvelo,isiNdebele,nbl,female,16000,71040,4.44,284160,1,train
nchlt_nbl_002f_0177.wav,nbl_002,urebeca malope mvumi odumileko wezekolo,isiNdebele,nbl,female,16000,84480,5.28,337920,1,train
nchlt_nbl_002f_0167.wav,nbl_002,kukhona ummongondaba yethando,isiNdebele,nbl,female,16000,109440,6.84,437760,1,train
nchlt_nbl_002f_0175.wav,nbl_002,ukudla imirorho kwenza umzimba ubemuhle,isiNdebele,nbl,female,16000,76800,4.8,307200,1,train
nchlt_nbl_002f_0189.wav,nbl_002,ilanga lamandela lamabeletho lithabelwa muntu woke,isiNdebele,nbl,female,16000,101760,6.36,407040,1,train
nchlt_nbl_002f_0179.wav,nbl_002,amathumbu agaya ukudla,isiNdebele,nbl,female,16000,99840,6.24,399360,1,train
nchlt_nbl_002f_0188.wav,nbl_002,chain stores in america,isiNdebele,nbl,female,16000,51840,3.24,207360,1,train
nchlt_nbl_002f_0192.wav,nbl_002,sikha amanzi epetsini siwabilise,isiNdebele,nbl,female,16000,88320,5.52,353280,1,train
nchlt_nbl_002f_0190.wav,nbl_002,iimbhontjisi zimunandi kwamambhala,isiNdebele,nbl,female,16000,88320,5.52,353280,1,train
nchlt_nbl_002f_0187.wav,nbl_002,ukuvala kwamafu,isiNdebele,nbl,female,16000,59520,3.72,238080,1,train
nchlt_nbl_002f_0180.wav,nbl_002,unyabela wafela  erholweni,isiNdebele,nbl,female,16000,119040,7.44,476160,1,train
nchlt_nbl_002f_0176.wav,nbl_002,ukurhwalabhisa kutholakala ehlelweni lelimi,isiNdebele,nbl,female,16000,103680,6.48,414720,1,train
